year,censor,quality,author,paper,SCC,CDR,PRTP,Equity,Uncertainty,Hope,Nordhaus,Tol,Ploeg,Tax
1982,0.97,1.00,0.50,0.50,1305.30,NA,1.00,0,0,0,1,0,0,0
1982,1.00,1.00,0.50,0.50,186.47,NA,1.00,0,0,0,1,0,0,0
1991,1.00,2.00,1.00,1.00,323.92,3.00,1.00,0,0,0,0,0,0,0
1991,1.00,0.13,0.06,0.11,657.20,1.00,0.00,0,0,0,1,0,0,0
1991,1.00,0.25,0.13,0.11,328.60,1.00,0.00,0,0,0,1,0,0,0
1991,1.00,0.13,0.06,0.11,82.13,1.00,0.00,0,0,0,1,0,0,0
1991,1.00,0.25,0.13,0.11,146.01,3.00,1.00,0,0,0,1,0,0,0
1991,1.00,0.50,0.25,0.11,73.06,3.00,1.00,0,0,0,1,0,0,0
1991,1.00,0.25,0.13,0.11,18.24,3.00,1.00,0,0,0,1,0,0,0
1991,1.00,0.13,0.06,0.11,24.32,6.00,4.00,0,0,0,1,0,0,0
1991,1.00,0.25,0.13,0.11,12.16,6.00,4.00,0,0,0,1,0,0,0
1991,1.00,0.13,0.06,0.11,3.09,6.00,4.00,0,0,0,1,0,0,0
1991,1.00,0.67,0.67,0.50,72.76,NA,1.00,0,0,0,1,0,0,0
1991,1.00,0.33,0.33,0.50,657.80,NA,1.00,0,0,0,1,0,0,0
1992,1.00,3.00,1.00,1.00,12.19,NA,3.00,0,0,0,1,0,0,0
1992,1.00,2.00,1.00,1.00,51.91,4.00,2.00,0,0,0,0,0,0,0
1992,1.00,3.00,1.00,1.00,176.41,NA,NA,0,0,0,0,0,0,0
1997,1.00,3.00,1.00,1.00,174.55,NA,NA,0,0,0,0,0,0,1
1992,0.51,2.00,1.00,1.00,4298.07,0.00,-2.00,0,0,0,0,0,0,0
1993,1.00,0.25,0.25,0.33,5.14,4.00,2.00,0,0,0,0,0,0,0
1993,1.00,0.50,0.50,0.33,8.28,4.00,2.00,0,0,0,0,0,0,0
1993,1.00,0.25,0.25,0.33,24.39,4.00,2.00,0,0,0,0,0,0,0
1992,1.00,1.00,1.00,1.00,46.31,4.00,2.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.02,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.11,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.03,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.16,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.05,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.04,0.02,0.02,0.33,NA,0.00,0,0,0,0,0,0,0
1993,1.00,0.02,0.01,0.02,0.10,NA,0.00,0,0,0,0,0,0,0
